level_0,index,Radiance,c2_1,c3_1,water_Reflectance_1,c2_2,c3_2,water_Reflectance_2,Mean_water_Reflectance,Standard_deviation_water
116,116,466.0,42.26678,38676700.0,109.0842,42.26678,34104850.0,96.1895,102.63685,9.117929811366174
117,117,467.0,43.065259999999995,39385250.0,109.0232,43.065259999999995,34753880.0,96.2025,102.61285000000001,9.065603909558371
118,118,468.0,43.84216,40074930.0,108.9658,43.84216,35373690.0,96.183,102.5744,9.038804562551396
119,119,469.0,44.56783,40718630.0,108.9135,44.56783,35937750.0,96.1258,102.51965,9.042269385779214
120,120,470.0,45.19771,41256540.0,108.8143,45.19771,36394810.0,95.992,102.40315000000001,9.066735280408267
121,121,471.0,45.75904,41700580.0,108.6371,45.75904,36820960.0,95.9239,102.2805,8.989589930580816
122,122,472.0,46.25742,42094650.0,108.4813,46.25742,37215190.0,95.9067,102.194,8.891584930708364
123,123,473.0,46.70081,42544440.0,108.5992,46.70081,37555670.0,95.8654,102.2323,9.00415633027326
124,124,474.0,47.0684,42903230.0,108.6604,47.0684,37860200.0,95.8876,102.274,9.031733494739527
125,125,475.0,47.39545,43200130.0,108.6572,47.39545,38136350.0,95.9209,102.28905,9.005924097226226
126,126,476.0,47.76992,43541280.0,108.6567,47.76992,38392310.0,95.8079,102.23230000000001,9.08547361010971
127,127,477.0,48.0848,43796720.0,108.5787,48.0848,38653560.0,95.8274,102.20304999999999,9.016530698944024
128,128,478.0,48.38657,44029670.0,108.4752,48.38657,38925940.0,95.9014,102.1883,8.891019245283415
129,129,479.0,48.80992,44412760.0,108.4702,48.80992,39212170.0,95.769,102.1196,8.981104649206578
130,130,480.0,49.20832,44821070.0,108.5805,49.20832,39521820.0,95.7431,102.1618,9.077412592804187
131,131,481.0,49.61707,45250640.0,108.7187,49.61707,39877580.0,95.8093,102.264,9.12832428104962
132,132,482.0,50.139520000000005,45703930.0,108.6639,50.139520000000005,40322650.0,95.8691,102.26650000000001,9.047289843925634
133,133,483.0,50.79352,46313060.0,108.6936,50.79352,40866890.0,95.9123,102.30295000000001,9.03774390237962
134,134,484.0,51.51693,47018000.0,108.7988,51.51693,41475340.0,95.973,102.38589999999999,9.069210154142421
135,135,485.0,52.18417,47677300.0,108.9135,52.18417,42077250.0,96.1206,102.51705,9.045946341041386
136,136,486.0,53.00829,48422930.0,108.8983,53.00829,42748070.0,96.1359,102.5171,9.024379584215193
137,137,487.0,53.954280000000004,49271200.0,108.8619,53.954280000000004,43490400.0,96.0898,102.47585000000001,9.03123851999271
138,138,488.0,54.97534,50248680.0,108.9593,54.97534,44309010.0,96.0802,102.51975,9.10689894557966
139,139,489.0,56.035940000000004,51202180.0,108.927,56.035940000000004,45149960.0,96.051,102.489,9.104706914557989
140,140,490.0,57.13227,52167010.0,108.8489,57.13227,46022860.0,96.0288,102.43885,9.065179645489655
141,141,491.0,58.2647,53196970.0,108.8407,58.2647,46945520.0,96.0503,102.4455,9.044178574088422
142,142,492.0,59.3536,54189500.0,108.8373,59.3536,47835910.0,96.0765,102.45689999999999,9.023248213365298
143,143,493.0,60.46398000000001,55199000.0,108.8291,60.46398000000001,48745330.0,96.105,102.46705,8.997297394495744
144,144,494.0,61.689980000000006,56303840.0,108.8014,61.689980000000006,49752610.0,96.1411,102.47125,8.952183981856052
145,145,495.0,62.859930000000006,57382060.0,108.8205,62.859930000000006,50638750.0,96.034,102.42725,9.041420857641782
146,146,496.0,63.98109,58418600.0,108.8454,63.98109,51481290.0,95.9192,102.3823,9.140203674973547
147,147,497.0,65.06334,59393740.0,108.8214,65.06334,52389720.0,95.988,102.40469999999999,9.074584165679438
148,148,498.0,66.15515,60360580.0,108.7678,66.15515,53243380.0,95.9432,102.3555,9.06836162600499
149,149,499.0,67.28425,61351200.0,108.6975,67.28425,54090820.0,95.8342,102.26585,9.095726658436924
150,150,500.0,68.49257,62414280.0,108.6299,68.49257,55002760.0,95.7306,102.18025,9.12118250255964
151,151,501.0,69.56708,63240240.0,108.3693,69.56708,55780950.0,95.5861,101.9777,9.03908740526387
